url,video_id,reason
https://www.youtube.com/watch?v=wGODg5ByuVo&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1413,wGODg5ByuVo,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=wGODg5ByuVo! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=MD-DaEa0Tpg&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1411,MD-DaEa0Tpg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=MD-DaEa0Tpg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=so3qOEMZXDQ&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1403,so3qOEMZXDQ,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=so3qOEMZXDQ! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=KiGhBcu8-vk&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2446,KiGhBcu8-vk,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=KiGhBcu8-vk! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=iTLbaarXoW8&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1401,iTLbaarXoW8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=iTLbaarXoW8! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=d2VRwxQlZYg&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2445,d2VRwxQlZYg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=d2VRwxQlZYg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=LJdcAIfoh_A&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1400,LJdcAIfoh_A,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=LJdcAIfoh_A! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=HvNJaZuzDDE&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1395,HvNJaZuzDDE,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=HvNJaZuzDDE! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=nIVWyuC2AB8&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1383,nIVWyuC2AB8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=nIVWyuC2AB8! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=CLgPhMUOmDw&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1360,CLgPhMUOmDw,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=CLgPhMUOmDw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=Y0DCa7StZuI&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2444,Y0DCa7StZuI,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Y0DCa7StZuI! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=rwiGxmYJTEI&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1351,rwiGxmYJTEI,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=rwiGxmYJTEI! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=XYqFMm-OAcg&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2443,XYqFMm-OAcg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=XYqFMm-OAcg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=Gdb4DFq_7x4&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1340,Gdb4DFq_7x4,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Gdb4DFq_7x4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
